电影排名,电影名称,电影评分,标记人数,详情连接,电影海报
['1'],['肖申克的救赎'],9.7,2090560人评价,['https://movie.douban.com/subject/1292052/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg']
['2'],['霸王别姬'],9.6,1550401人评价,['https://movie.douban.com/subject/1291546/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg']
['3'],['阿甘正传'],9.5,1579058人评价,['https://movie.douban.com/subject/1292720/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg']
['4'],['这个杀手不太冷'],9.4,1768777人评价,['https://movie.douban.com/subject/1295644/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg']
['5'],['泰坦尼克号'],9.4,1532631人评价,['https://movie.douban.com/subject/1292722/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg']
['6'],['美丽人生'],9.5,988307人评价,['https://movie.douban.com/subject/1292063/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg']
['7'],['千与千寻'],9.4,1642174人评价,['https://movie.douban.com/subject/1291561/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg']
['8'],['辛德勒的名单'],9.5,804080人评价,['https://movie.douban.com/subject/1295124/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg']
['9'],['盗梦空间'],9.3,1506778人评价,['https://movie.douban.com/subject/3541415/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg']
['10'],['忠犬八公的故事'],9.4,1049096人评价,['https://movie.douban.com/subject/3011091/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg']
['11'],['海上钢琴师'],9.3,1256738人评价,['https://movie.douban.com/subject/1292001/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg']
['12'],['楚门的世界'],9.3,1130081人评价,['https://movie.douban.com/subject/1292064/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg']
['13'],['三傻大闹宝莱坞'],9.2,1399207人评价,['https://movie.douban.com/subject/3793023/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg']
['14'],['机器人总动员'],9.3,991268人评价,['https://movie.douban.com/subject/2131459/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg']
['15'],['放牛班的春天'],9.3,973347人评价,['https://movie.douban.com/subject/1291549/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg']
['16'],['星际穿越'],9.3,1131374人评价,['https://movie.douban.com/subject/1889243/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg']
['17'],['大话西游之大圣娶亲'],9.2,1108827人评价,['https://movie.douban.com/subject/1292213/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg']
['18'],['熔炉'],9.3,682686人评价,['https://movie.douban.com/subject/5912992/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg']
['19'],['疯狂动物城'],9.2,1330542人评价,['https://movie.douban.com/subject/25662329/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg']
['20'],['无间道'],9.2,904051人评价,['https://movie.douban.com/subject/1307914/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg']
['21'],['龙猫'],9.2,935219人评价,['https://movie.douban.com/subject/1291560/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg']
['22'],['教父'],9.3,683052人评价,['https://movie.douban.com/subject/1291841/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg']
['23'],['当幸福来敲门'],9.1,1124536人评价,['https://movie.douban.com/subject/1849031/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg']
['24'],['怦然心动'],9.1,1305558人评价,['https://movie.douban.com/subject/3319755/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg']
['25'],['触不可及'],9.2,729558人评价,['https://movie.douban.com/subject/6786002/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg']
['26'],['控方证人'],9.6,297988人评价,['https://movie.douban.com/subject/1296141/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg']
['27'],['蝙蝠侠：黑暗骑士'],9.2,753597人评价,['https://movie.douban.com/subject/1851857/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg']
['28'],['活着'],9.2,586347人评价,['https://movie.douban.com/subject/1292365/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg']
['29'],['末代皇帝'],9.3,537306人评价,['https://movie.douban.com/subject/1293172/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg']
['30'],['寻梦环游记'],9.1,1115846人评价,['https://movie.douban.com/subject/20495023/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg']
['31'],['乱世佳人'],9.3,502517人评价,['https://movie.douban.com/subject/1300267/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg']
['32'],['摔跤吧！爸爸'],9.0,1148272人评价,['https://movie.douban.com/subject/26387939/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg']
['33'],['何以为家'],9.1,687510人评价,['https://movie.douban.com/subject/30170448/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg']
['34'],['指环王3：王者无敌'],9.2,554396人评价,['https://movie.douban.com/subject/1291552/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg']
['35'],['少年派的奇幻漂流'],9.1,1046896人评价,['https://movie.douban.com/subject/1929463/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg']
['36'],['飞屋环游记'],9.0,980670人评价,['https://movie.douban.com/subject/2129039/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg']
['37'],['十二怒汉'],9.4,334775人评价,['https://movie.douban.com/subject/1293182/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg']
['38'],['鬼子来了'],9.2,451423人评价,['https://movie.douban.com/subject/1291858/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg']
['39'],['素媛'],9.2,458938人评价,['https://movie.douban.com/subject/21937452/'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg']
['40'],['天空之城'],9.1,621830人评价,['https://movie.douban.com/subject/1291583/'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg']
['41'],['哈尔的移动城堡'],9.1,717512人评价,['https://movie.douban.com/subject/1308807/'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg']
